,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
71,frozenset({'race_AfricanAmerican'}),frozenset({'readmitted_Yes'}),0.2063,0.3965,0.0722,0.3499757634512845,0.8826627073172371,-0.009597950000000008,0.9284269202087994
249,frozenset({'race_Caucasian'}),frozenset({'readmitted_Yes'}),0.7359,0.3965,0.3064,0.41636091860307106,1.0500905891628525,0.01461564999999998,1.0340294528521534
390,frozenset({'gender_Female'}),frozenset({'readmitted_Yes'}),0.5398,0.3965,0.2171,0.4021859948128937,1.0143404661107027,0.003069299999999997,1.0095113108149982
519,frozenset({'gender_Male'}),frozenset({'readmitted_Yes'}),0.4602,0.3965,0.1794,0.3898305084745763,0.9831790882082629,-0.003069299999999997,0.9890694444444444
567,frozenset({'age_[40-50)'}),frozenset({'readmitted_Yes'}),0.0978,0.3965,0.0345,0.35276073619631904,0.8896865982252686,-0.004277699999999995,0.9324218009478671
617,frozenset({'age_[50-60)'}),frozenset({'readmitted_Yes'}),0.1722,0.3965,0.064,0.3716608594657375,0.9373539961304855,-0.004277299999999998,0.9604685767097967
681,frozenset({'age_[60-70)'}),frozenset({'readmitted_Yes'}),0.2187,0.3965,0.0886,0.4051211705532693,1.0217431792011835,0.0018854499999999969,1.0144923136049193
751,frozenset({'age_[70-80)'}),frozenset({'readmitted_Yes'}),0.2595,0.3965,0.1117,0.4304431599229287,1.0856069607135654,0.00880824999999999,1.059595737483085
793,frozenset({'age_[80-90)'}),frozenset({'readmitted_Yes'}),0.1577,0.3965,0.0699,0.44324667089410275,1.1178982872486827,0.007371950000000002,1.0839629840546696
853,frozenset({'admission_type_id_Elective'}),frozenset({'readmitted_Yes'}),0.1786,0.3965,0.0657,0.3678611422172452,0.9277708504848554,-0.0051149000000000056,0.9546953055801592
995,frozenset({'admission_type_id_Emergency'}),frozenset({'readmitted_Yes'}),0.6279,0.3965,0.2566,0.4086637999681478,1.030677931823828,0.007637649999999968,1.0205700242391595
1045,frozenset({'admission_type_id_Urgent'}),frozenset({'readmitted_Yes'}),0.1935,0.3965,0.0742,0.3834625322997416,0.9671186186626521,-0.002522750000000004,0.9788537300922043
1186,frozenset({'discharge_disposition_id_Discharged to home'}),frozenset({'readmitted_Yes'}),0.666,0.3965,0.2543,0.38183183183183184,0.9630058810386679,-0.009769000000000028,0.9762715569589506
1213,frozenset({'discharge_disposition_id_Discharged/transferred to SNF'}),frozenset({'readmitted_Yes'}),0.119,0.3965,0.0522,0.438655462184874,1.1063189462418006,0.0050165,1.0750973053892214
1239,frozenset({'discharge_disposition_id_Discharged/transferred to home with home health service'}),frozenset({'readmitted_Yes'}),0.116,0.3965,0.0588,0.5068965517241378,1.2784276209940424,0.012805999999999991,1.2238811188811185
1365,frozenset({'admission_source_id_Emergency Room'}),frozenset({'readmitted_Yes'}),0.5913,0.3965,0.2532,0.4282090309487569,1.0799723353058182,0.018749549999999948,1.055455634427684
1421,frozenset({'admission_source_id_Physician Referral'}),frozenset({'readmitted_Yes'}),0.3011,0.3965,0.1144,0.37994021919628035,0.9582351051608583,-0.004986149999999995,0.973293251205142
1475,frozenset({'time_in_hospital_1'}),frozenset({'readmitted_Yes'}),0.141,0.3965,0.0455,0.32269503546099293,0.8138588536216719,-0.010406499999999999,0.8910314136125654
1507,frozenset({'time_in_hospital_2'}),frozenset({'readmitted_Yes'}),0.1712,0.3965,0.0644,0.37616822429906543,0.9487218771729267,-0.003480800000000006,0.9674082397003744
1534,frozenset({'time_in_hospital_3'}),frozenset({'readmitted_Yes'}),0.166,0.3965,0.0666,0.40120481927710844,1.0118658745954816,0.0007810000000000039,1.0078571428571428
1557,frozenset({'time_in_hospital_4'}),frozenset({'readmitted_Yes'}),0.1324,0.3965,0.0548,0.4138972809667674,1.043877127280624,0.002303400000000004,1.0296829896907216
1577,frozenset({'time_in_hospital_5'}),frozenset({'readmitted_Yes'}),0.1002,0.3965,0.0387,0.38622754491017963,0.9740921687520293,-0.0010293000000000038,0.9832634146341462
1593,frozenset({'time_in_hospital_6'}),frozenset({'readmitted_Yes'}),0.0762,0.3965,0.034,0.4461942257217848,1.1253322212403147,0.0037867000000000005,1.0897322274881516
1606,frozenset({'time_in_hospital_7'}),frozenset({'readmitted_Yes'}),0.0603,0.3965,0.0274,0.4543946932006634,1.1460143586397562,0.003491049999999999,1.1061109422492401
1741,frozenset({'num_procedures_0'}),frozenset({'readmitted_Yes'}),0.4345,0.3965,0.1783,0.4103567318757192,1.0349476213763409,0.006020749999999991,1.023500195160031
1769,frozenset({'num_procedures_1'}),frozenset({'readmitted_Yes'}),0.2096,0.3965,0.081,0.38645038167938933,0.9746541782582329,-0.0021064000000000083,0.9836205287713842
1786,frozenset({'num_procedures_2'}),frozenset({'readmitted_Yes'}),0.1284,0.3965,0.0519,0.4042056074766356,1.019434066775878,0.0009894000000000014,1.0129333333333332
1803,frozenset({'num_procedures_3'}),frozenset({'readmitted_Yes'}),0.1043,0.3965,0.0401,0.3844678811121764,0.9696541768276832,-0.0012549500000000047,0.980452492211838
1909,frozenset({'num_medications_11'}),frozenset({'readmitted_Yes'}),0.0617,0.3965,0.024,0.3889789303079417,0.9810313500830811,-0.0004640500000000006,0.9876909814323606
